"mill_cd","codes","type","code_type","dscr","tax_dist","name","curr","tot_mill","percent_rounded"
"000010","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","92.864000","21.28"
"000012","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.815000","20.41"
"000014","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","94.687000","20.87"
"000015","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.388000","20.50"
"000017","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","100.339000","19.69"
"000018","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","100.339000","19.69"
"000020","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","108.611000","18.19"
"000021","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","114.614000","17.24"
"000026","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","107.864000","18.32"
"000027","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","97.864000","20.19"
"000034","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","91.864000","21.51"
"000040","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","94.443000","20.92"
"000041","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","92.864000","21.28"
"000042","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","94.074000","21.00"
"000043","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","100.179000","19.72"
"000057","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.236000","20.53"
"000058","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.236000","20.53"
"000059","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","136.236000","14.50"
"000060","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.236000","20.53"
"000090","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.236000","20.53"
"000091","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.236000","20.53"
"000094","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.236000","20.53"
"000095","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.236000","20.53"
"000096","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","101.236000","19.52"
"000098","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","150.393000","13.14"
"000099","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","95.236000","20.75"
"000101","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","115.236000","17.14"
"000108","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","104.518000","18.90"
"000109","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.432000","20.49"
"000110","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","93.932000","21.03"
"000111","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","104.518000","18.90"
"000112","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.432000","20.49"
"000114","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","93.932000","21.03"
"000116","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","104.518000","18.90"
"000117","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","94.432000","20.92"
"000119","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","115.461000","17.11"
"000120","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","93.932000","21.03"
"000122","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.682000","20.44"
"000124","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","93.932000","21.03"
"000125","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","110.179000","17.93"
"000127","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","156.432000","12.63"
"000128","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","94.182000","20.98"
"000129","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","153.932000","12.83"
"000131","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","110.871000","17.82"
"000132","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","95.432000","20.70"
"000133","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","149.079000","13.25"
"000140","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","100.722000","19.62"
"000150","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","88.215000","22.40"
"000151","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","93.435000","21.15"
"000152","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","87.632000","22.55"
"000153","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","95.285000","20.73"
"000154","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","97.835000","20.19"
"000155","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","92.615000","21.33"
"000156","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","85.643000","23.07"
"000157","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","90.182000","21.91"
"000158","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","101.893000","19.39"
"000159","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","90.065000","21.94"
"000160","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","121.959000","16.20"
"000161","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","116.959000","16.89"
"000162","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","83.493000","23.66"
"000163","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","92.032000","21.47"
"000164","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","87.493000","22.58"
"000165","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","94.465000","20.91"
"000166","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","99.685000","19.82"
"000167","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","99.685000","19.82"
"000168","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","106.293000","18.59"
"000170","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","103.253000","19.13"
"000180","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","75.816000","26.06"
"000182","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","84.355000","23.42"
"000183","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","86.205000","22.92"
"000184","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","90.031000","21.94"
"000186","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","88.816000","22.24"
"000187","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","79.816000","24.75"
"000188","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","86.788000","22.76"
"000189","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","95.063000","20.78"
"000190","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","85.816000","23.02"
"000191","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","95.433000","20.70"
"000193","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","85.816000","23.02"
"000194","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","92.008000","21.47"
"000195","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","93.858000","21.05"
"000201","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","80.216000","24.63"
"000203","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","90.931000","21.73"
"000206","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.333000","20.51"
"000210","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","104.153000","18.97"
"000211","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","95.963000","20.59"
"000222","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","120.502000","16.40"
"000234","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","152.352000","12.97"
"000237","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","107.332000","18.41"
"000240","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","85.119000","23.21"
"000241","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","175.243000","11.27"
"000248","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","137.332000","14.39"
"000250","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","81.216000","24.33"
"000253","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.963000","20.38"
"000254","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","88.302000","22.37"
"000260","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","104.016000","18.99"
"000264","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","87.937000","22.47"
"000266","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","90.222000","21.90"
"000267","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","81.222000","24.32"
"000268","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","93.339000","21.17"
"000270","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","106.339000","18.58"
"000350","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","98.616000","20.03"
"000351","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","110.656000","17.85"
"000352","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","103.016000","19.18"
"000410","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","80.216000","24.63"
"000412","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","80.722000","24.48"
"000413","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","91.437000","21.61"
"000414","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","90.931000","21.73"
"000415","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.333000","20.51"
"000416","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.839000","20.40"
"000420","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","97.318000","20.30"
"000421","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","96.418000","20.49"
"000422","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","88.406000","22.35"
"000423","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","98.221000","20.11"
"000430","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","98.318000","20.09"
"000532","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","92.454000","21.37"
"000676","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","161.091000","12.26"
"000677","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","161.091000","12.26"
"000678","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","165.204000","11.96"
"000679","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","148.957000","13.26"
"000680","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","98.957000","19.97"
"000682","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","140.204000","14.09"
"000683","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","115.204000","17.15"
"000685","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","111.091000","17.78"
"000687","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","98.957000","19.97"
"000688","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","111.091000","17.78"
"000689","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","115.204000","17.15"
"000691","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","115.204000","17.15"
"000692","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","123.957000","15.94"
"000695","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","98.957000","19.97"
"000696","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","148.957000","13.26"
"000697","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","165.204000","11.96"
"000700","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","123.290000","16.02"
"000701","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","122.290000","16.16"
"000702","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","123.290000","16.02"
"000703","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","123.290000","16.02"
"000704","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","122.290000","16.16"
"000810","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","92.053000","21.46"
"000820","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","84.537000","23.37"
"000821","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","100.654000","19.63"
"000822","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","98.752000","20.01"
"000824","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","98.499000","20.06"
"000825","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","104.358000","18.93"
"000826","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","104.154000","18.97"
"000827","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","88.537000","22.31"
"000862","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","125.568000","15.73"
"000872","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","105.154000","18.79"
"000874","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","105.358000","18.75"
"000876","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","104.784000","18.85"
"000878","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","105.154000","18.79"
"000952","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","98.752000","20.01"
"001015","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","110.755000","17.84"
"001016","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","103.957000","19.00"
"001017","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","110.755000","17.84"
"001018","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","103.957000","19.00"
"001350","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","64.464000","30.65"
"001351","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","56.948000","34.69"
"001352","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","68.453000","28.86"
"001353","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","65.726000","30.06"
"001354","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","69.072000","28.60"
"001355","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","63.213000","31.25"
"001356","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","61.807000","31.97"
"001357","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","69.323000","28.50"
"001365","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","70.729000","27.93"
"001366","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","70.910000","27.86"
